open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1712394000000,0.185070,0.186180,0.182240,0.182890,413958976,1712397599999,76244545.611910,118604,186768320,34425235.939080,0
1712397600000,0.182890,0.183750,0.182260,0.183150,215280712,1712401199999,39385853.173950,76107,105713142,19342363.886180,0
1712401200000,0.183150,0.184410,0.182330,0.182710,251654887,1712404799999,46123658.280810,79633,120832196,22144845.786220,0
1712404800000,0.182700,0.183330,0.181160,0.182120,242023788,1712408399999,44117296.965940,76752,114385577,20855555.896640,0
1712408400000,0.182120,0.182120,0.180180,0.180590,281425439,1712411999999,50915745.236250,85047,125236795,22656512.580230,0
1712412000000,0.180590,0.182430,0.180340,0.182320,222988487,1712415599999,40506078.443660,67639,116367949,21138477.659000,0
1712415600000,0.182320,0.183790,0.181470,0.183430,245495916,1712419199999,44883933.287250,81230,130592596,23872609.346980,0
1712419200000,0.183450,0.184030,0.182440,0.183700,170595791,1712422799999,31261462.535540,74810,82230108,15068454.628110,0
1712422800000,0.183700,0.185040,0.183060,0.183520,209507384,1712426399999,38526843.580850,72898,102656014,18877766.536190,0
1712426400000,0.183530,0.183770,0.182110,0.182770,122750057,1712429999999,22452690.694010,48764,59240129,10835959.739830,0
1712430000000,0.182760,0.183780,0.182280,0.183130,115161302,1712433599999,21097526.090450,45537,59855733,10965749.505830,0
1712433600000,0.183130,0.185480,0.182390,0.185240,173029854,1712437199999,31873474.622630,62153,80238773,14778275.803690,0
1712437200000,0.185230,0.186400,0.183720,0.183790,205872086,1712440799999,38108778.365860,75006,100581031,18620326.569270,0
1712440800000,0.183790,0.186760,0.183720,0.186550,186309455,1712444399999,34537721.837750,78793,93464416,17321240.843080,0
1712444400000,0.186550,0.188000,0.185360,0.185850,256835866,1712447999999,47966465.010480,103597,128018248,23908906.018920,0
1712448000000,0.185860,0.193160,0.185560,0.192350,658038876,1712451599999,124653396.809860,219777,341413214,64715794.251370,0
1712451600000,0.192350,0.195660,0.190810,0.194730,624811357,1712455199999,120933542.167860,213184,326621670,63229161.462500,0
1712455200000,0.194730,0.198780,0.194230,0.196210,582174707,1712458799999,114369457.104100,202113,286739538,56351409.494330,0
1712458800000,0.196200,0.197410,0.194310,0.195750,421568723,1712462399999,82507982.173820,113425,205658266,40251434.821640,0
1712462400000,0.195750,0.198180,0.195680,0.197190,431298513,1712465999999,84999054.131930,127663,223387222,44024932.709690,0
1712466000000,0.197190,0.197850,0.195910,0.197160,205408052,1712469599999,40495223.454710,72734,101718423,20056987.572870,0
1712469600000,0.197150,0.197400,0.193160,0.193830,521537043,1712473199999,101654720.653310,131911,258821636,50446348.956510,0
1712473200000,0.193840,0.195370,0.193580,0.195310,271454941,1712476799999,52764483.037630,74720,147256229,28623360.196380,0
1712476800000,0.195310,0.195930,0.194160,0.195210,188242068,1712480399999,36723424.716300,59529,81833709,15967958.175100,0
1712480400000,0.195200,0.195480,0.192630,0.194140,257160569,1712483999999,49870949.104610,75073,112542519,21836820.205340,0
1712484000000,0.194140,0.197680,0.193830,0.196900,327394465,1712487599999,64200720.733780,97307,172345277,33799290.730420,0
1712487600000,0.196910,0.198590,0.196020,0.198390,323182359,1712491199999,63805424.909840,92611,168943860,33367767.315540,0
1712491200000,0.198380,0.198890,0.196490,0.196930,313238556,1712494799999,61884155.601460,97029,149739509,29582061.129810,0
1712494800000,0.196930,0.199860,0.196670,0.199250,302257814,1712498399999,59877328.369460,97627,161309194,31952104.314930,0
1712498400000,0.199250,0.204710,0.198200,0.202350,971513141,1712501999999,196232813.988180,297625,513032216,103605864.524460,0
1712502000000,0.202350,0.205360,0.199060,0.200120,841016110,1712505599999,170062470.291540,236905,406857343,82318654.655290,0
1712505600000,0.200130,0.204000,0.199800,0.202320,452676185,1712509199999,91188986.473110,149960,227964475,45911548.047420,0
1712509200000,0.202310,0.202780,0.199340,0.199910,313524849,1712512799999,62838222.998990,115994,148670329,29801457.139660,0
1712512800000,0.199910,0.200270,0.196810,0.197970,401861311,1712516399999,79597559.469400,114309,186120179,36861261.068290,0
1712516400000,0.197980,0.198750,0.196510,0.197040,259896734,1712519999999,51380444.119310,85463,130704482,25846614.977350,0
1712520000000,0.197030,0.200330,0.196630,0.198740,216799254,1712523599999,43075233.439630,75450,121381731,24118450.096890,0
1712523600000,0.198740,0.200000,0.197330,0.197410,152807030,1712527199999,30376967.602310,58083,66247244,13176739.421010,0
1712527200000,0.197400,0.198600,0.195830,0.196670,265986087,1712530799999,52448753.305890,105659,134313521,26488122.901340,0
1712530800000,0.196670,0.200530,0.196350,0.199020,283746707,1712534399999,56501513.486370,106797,153000731,30462485.181360,0
1712534400000,0.199020,0.199090,0.195600,0.197590,401669832,1712537999999,79148034.176130,148874,190937494,37612000.462430,0
1712538000000,0.197590,0.200150,0.196910,0.198040,274550076,1712541599999,54593918.064720,103903,120467966,23949946.281410,0
1712541600000,0.198020,0.198970,0.195780,0.197150,253559018,1712545199999,50013748.452880,97474,127998943,25251464.169680,0
1712545200000,0.197160,0.199190,0.195860,0.198710,222831928,1712548799999,43982140.099560,92499,108724998,21457452.829390,0
1712548800000,0.198700,0.199720,0.197000,0.198540,182503834,1712552399999,36187801.384370,74843,89799529,17805535.405730,0
1712552400000,0.198550,0.202350,0.198490,0.201040,376803299,1712555999999,75647094.189930,137638,185826280,37304896.088830,0
1712556000000,0.201040,0.202560,0.200230,0.201930,254945832,1712559599999,51291760.718590,95845,131247783,26412503.181720,0
1712559600000,0.201930,0.207860,0.201690,0.206180,932527201,1712563199999,191751344.062380,304575,498559449,102504211.920320,0
1712563200000,0.206190,0.208720,0.205510,0.207700,627057352,1712566799999,129921831.252750,213719,313459825,64966259.118440,0
1712566800000,0.207710,0.208880,0.206000,0.206420,436274553,1712570399999,90429639.838780,148346,199956578,41456000.166000,0
1712570400000,0.206420,0.208470,0.205460,0.207900,329028389,1712573999999,68024641.289130,113639,164502382,34024729.557780,0
1712574000000,0.207910,0.207980,0.206460,0.207060,223912517,1712577599999,46385104.370680,86008,109890642,22767664.233340,0
1712577600000,0.207070,0.209270,0.203580,0.204510,539624906,1712581199999,111286681.593010,178822,246490660,50883001.927070,0
1712581200000,0.204510,0.205240,0.202460,0.203540,458406041,1712584799999,93576160.162770,154642,217729242,44456786.135440,0
1712584800000,0.203540,0.203850,0.201120,0.203330,400596989,1712588399999,81128621.105680,141559,197938188,40092967.857650,0
1712588400000,0.203330,0.204240,0.201800,0.203050,213920674,1712591999999,43420539.992490,84959,106047631,21529135.658920,0
1712592000000,0.203060,0.204000,0.202080,0.202920,200345857,1712595599999,40729877.083510,81190,101124306,20561407.259350,0
1712595600000,0.202930,0.203790,0.202000,0.203490,165161525,1712599199999,33489391.643990,62826,88641138,17976606.871960,0
1712599200000,0.203490,0.205280,0.202740,0.203110,330373865,1712602799999,67473537.714020,98535,165500498,33814148.031540,0
1712602800000,0.203100,0.203590,0.200290,0.201470,276963207,1712606399999,55927549.629760,90072,122701166,24788113.946770,0
1712606400000,0.201470,0.203010,0.200940,0.202260,218982739,1712609999999,44177422.892320,67317,121121807,24438901.091330,0
1712610000000,0.202270,0.202460,0.201100,0.201640,84632467,1712613599999,17080227.645020,38262,38308277,7731283.748280,0
1712613600000,0.201630,0.203790,0.201390,0.203570,152096115,1712617199999,30842196.087400,64031,82762655,16782767.407370,0
1712617200000,0.203560,0.203750,0.202470,0.202770,130592971,1712620799999,26525147.861890,44694,60555812,12301606.943950,0
1712620800000,0.202760,0.203640,0.199330,0.200760,340135517,1712624399999,68359967.262340,124685,167208981,33609935.052050,0
1712624400000,0.200750,0.201000,0.198320,0.200410,342179708,1712627999999,68285952.823920,119908,157786518,31497087.227240,0
1712628000000,0.200410,0.202600,0.199950,0.201170,187921579,1712631599999,37842140.020170,79282,91606027,18451299.688130,0
1712631600000,0.201180,0.202140,0.197740,0.199390,344236155,1712635199999,68711944.040970,104333,147414682,29427658.960020,0
1712635200000,0.199400,0.199830,0.198190,0.199450,162270844,1712638799999,32309545.695060,60750,78476209,15629397.857600,0
1712638800000,0.199440,0.201440,0.198900,0.200140,260937543,1712642399999,52203763.458290,91871,140114646,28032085.283490,0
1712642400000,0.200140,0.201090,0.196770,0.198350,438417276,1712645999999,87193652.406890,152677,211510094,42079006.110710,0
1712646000000,0.198360,0.199160,0.195890,0.197400,466849591,1712649599999,92159900.710090,165951,223041123,44036197.647910,0
1712649600000,0.197400,0.197430,0.193000,0.196510,666184726,1712653199999,129978500.674070,234438,319534827,62367846.808210,0
1712653200000,0.196510,0.197530,0.194520,0.195600,237429784,1712656799999,46581408.790660,93788,115752269,22716950.528750,0
1712656800000,0.195590,0.196820,0.194700,0.196250,185746038,1712660399999,36373868.798030,71735,93237180,18262935.749660,0
1712660400000,0.196240,0.197580,0.196240,0.197040,143864863,1712663999999,28337288.762550,54005,71628800,14109410.303640,0
1712664000000,0.197040,0.197250,0.194880,0.195430,191261294,1712667599999,37503472.921520,66318,90470424,17744727.902050,0
1712667600000,0.195440,0.195690,0.191350,0.191740,551231680,1712671199999,106629600.156180,161866,244327946,47280207.891130,0
1712671200000,0.191750,0.193760,0.187780,0.190120,880543746,1712674799999,167681234.583130,255827,431056768,82103238.832790,0
1712674800000,0.190120,0.190420,0.186680,0.190230,486110905,1712678399999,91803701.079540,155392,240615272,45458654.473910,0
1712678400000,0.190240,0.190270,0.187770,0.188160,322340088,1712681999999,60927227.938510,104272,154320743,29170402.795890,0
1712682000000,0.188170,0.189400,0.186000,0.189250,464967032,1712685599999,87194354.661750,139273,219760319,41229503.173330,0
1712685600000,0.189250,0.189910,0.188430,0.188870,181131187,1712689199999,34279712.164510,63622,90867105,17197998.592930,0
1712689200000,0.188870,0.189650,0.187710,0.189300,151852601,1712692799999,28634454.880220,58076,77888458,14686593.415860,0
1712692800000,0.189290,0.190870,0.189160,0.190780,238078932,1712696399999,45251402.613680,55445,124142165,23594283.501480,0
1712696400000,0.190770,0.190880,0.187500,0.189710,214025526,1712699999999,40468851.476110,58021,83044545,15708769.526640,0
1712700000000,0.189700,0.190450,0.188820,0.190090,102974395,1712703599999,19544123.057470,38965,49489352,9393769.240300,0
1712703600000,0.190090,0.190090,0.187030,0.189270,268675417,1712707199999,50627389.563570,83604,135087281,25452221.540410,0
1712707200000,0.189260,0.191980,0.188450,0.189550,321660281,1712710799999,61263278.444650,127520,152910573,29120301.575100,0
1712710800000,0.189550,0.189780,0.185560,0.189640,442676166,1712714399999,83006563.427730,149942,210517476,39478576.153000,0
1712714400000,0.189630,0.191730,0.184670,0.185930,490728813,1712717999999,92205126.564660,180405,248765160,46757746.295590,0
1712718000000,0.185930,0.188560,0.185500,0.188410,276478383,1712721599999,51689518.051810,110469,145565037,27215682.619250,0
1712721600000,0.188410,0.189220,0.187680,0.188730,174095305,1712725199999,32799718.575690,70363,87156895,16421341.418520,0
1712725200000,0.188730,0.190880,0.188510,0.189930,185415742,1712728799999,35204798.300950,71443,90052913,17098673.974530,0
1712728800000,0.189940,0.192010,0.189450,0.190430,210252682,1712732399999,40114254.112280,71898,104393646,19924880.415890,0
1712732400000,0.190440,0.191460,0.190010,0.190440,140129776,1712735999999,26731238.193070,57500,67976060,12968424.730910,0
1712736000000,0.190440,0.190470,0.187830,0.188850,282351696,1712739599999,53298977.873810,99412,125857192,23760229.159870,0
1712739600000,0.188840,0.190180,0.187900,0.189050,167768378,1712743199999,31684746.247510,67734,85212477,16095409.792920,0
1712743200000,0.189060,0.189590,0.186120,0.187890,297807215,1712746799999,55788315.846940,107891,147850098,27693969.611730,0
1712746800000,0.187900,0.188990,0.187480,0.188710,122732545,1712750399999,23109001.327970,54927,56946410,10721242.891140,0
1712750400000,0.188710,0.189520,0.180200,0.183760,1189177107,1712753999999,218883651.296470,386973,561157557,103343342.983140,0
1712754000000,0.183750,0.186250,0.181990,0.186190,408933754,1712757599999,75120365.445700,158292,210739129,38735529.937410,0
1712757600000,0.186180,0.194500,0.184920,0.191890,868459357,1712761199999,165462211.006660,290564,433189905,82527543.460160,0
1712761200000,0.191890,0.193740,0.189140,0.193350,499768637,1712764799999,95581481.928890,166859,247015195,47244143.091380,0
